Analysis Type	NCBI BioProject ID (Strain 1)	Strain 1	GI (Strain 1)	Locus Tag (Strain 1)	NCBI RefSeq Accession (Strain 1)	Description (Strain 1)	NCBI BioProject ID (Strain 2)	Strain 2	GI (Strain 2)	Locus Tag (Strain 2)	NCBI RefSeq Accession (Strain 2)	Description (Strain 2)	Inparalogs	Strain 1 Inparalogs (Locus Tag/Name)	Strain 2 Inparalogs (Locus Tag/Name)	Ortholuge Class
rbb	57945	Pseudomonas aeruginosa PAO1	15598750	PA3554	NP_252244.1	bifunctional UDP-glucuronic acid decarboxylase/UDP-4-amino-4-deoxy-L-arabinose formyltransferase	59275	Pseudomonas aeruginosa LESB58	218890219	PLES_14791	WP_003119539.1	bifunctional UDP-glucuronic acid decarboxylase/UDP-4-amino-4-deoxy-L-arabinose formyltransferase				
rbb	57945	Pseudomonas aeruginosa PAO1	15598751	PA3555	NP_252245.1	ArnD	59275	Pseudomonas aeruginosa LESB58	218890218	PLES_14781	WP_003112878.1	putative polysaccharide deacetylase				
rbb	57945	Pseudomonas aeruginosa PAO1	15598752	PA3556	NP_252246.1	4-amino-4-deoxy-L-arabinose transferase	59275	Pseudomonas aeruginosa LESB58	218890217	PLES_14771	WP_012613746.1	4-amino-4-deoxy-L-arabinose transferase				
rbb	57945	Pseudomonas aeruginosa PAO1	15598753	PA3557	NP_252247.1	ArnE	59275	Pseudomonas aeruginosa LESB58	218890216	PLES_14761	WP_003112876.1	putative inner membrane protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15598754	PA3558	NP_252248.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218890215	PLES_14751	WP_012613745.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15598755	PA3559	NP_252249.1	nucleotide sugar dehydrogenase	59275	Pseudomonas aeruginosa LESB58	218890214	PLES_14741	WP_003117510.1	putative nucleotide sugar dehydrogenase				
rbb	57945	Pseudomonas aeruginosa PAO1	15598756	PA3560	NP_252250.1	phosphotransferase system transporter fructose-specific IIBC component, FruA	59275	Pseudomonas aeruginosa LESB58	218890213	PLES_14731	WP_012613744.1	phosphotransferase system, fructose-specific IIBC component				
rbb	57945	Pseudomonas aeruginosa PAO1	15598757	PA3561	NP_252251.1	1-phosphofructokinase	59275	Pseudomonas aeruginosa LESB58	218890212	PLES_14721	WP_012613743.1	1-phosphofructokinase				
rbb	57945	Pseudomonas aeruginosa PAO1	15598758	PA3562	NP_252252.1	phosphotransferase system transporter enzyme I, FruI	59275	Pseudomonas aeruginosa LESB58	218890211	PLES_14711	WP_003119534.1	putative phosphotransferase system enzyme I				
rbb	57945	Pseudomonas aeruginosa PAO1	15598759	PA3563	NP_252253.1	FruR family transcriptional regulator	59275	Pseudomonas aeruginosa LESB58	218890210	PLES_14701	WP_003104372.1	DNA-binding transcriptional regulator FruR				
rbb	57945	Pseudomonas aeruginosa PAO1	15598760	PA3564	NP_252254.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218890209	PLES_14691	WP_003104370.1	putative deoxyribonuclease, TatD family				
rbb	57945	Pseudomonas aeruginosa PAO1	15598761	PA3565	NP_252255.1	transcriptional regulator	59275	Pseudomonas aeruginosa LESB58	218890208	PLES_14681	WP_003092132.1	putative transcriptional regulator				
rbb	57945	Pseudomonas aeruginosa PAO1	15598762	PA3566	NP_252256.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218890207	PLES_14671	WP_003104358.1	putative Antibiotic biosynthesis monooxygenase				
rbb	57945	Pseudomonas aeruginosa PAO1	15598763	PA3567	NP_252257.1	oxidoreductase	59275	Pseudomonas aeruginosa LESB58	218890206	PLES_14661	WP_003104356.1	putative oxidoreductase				
rbb	57945	Pseudomonas aeruginosa PAO1	15598764	PA3568	NP_252258.1	acetyl-coa synthetase	59275	Pseudomonas aeruginosa LESB58	218890205	PLES_14651	WP_003104354.1	putative acetyl-coa synthetase				
rbb	57945	Pseudomonas aeruginosa PAO1	15598765	PA3569	NP_252259.1	3-hydroxyisobutyrate dehydrogenase	59275	Pseudomonas aeruginosa LESB58	218890204	PLES_14641	WP_003117505.1	3-hydroxyisobutyrate dehydrogenase				
rbb	57945	Pseudomonas aeruginosa PAO1	15598766	PA3570	NP_252260.1	methylmalonate-semialdehyde dehydrogenase	59275	Pseudomonas aeruginosa LESB58	218890203	PLES_14631	WP_003104350.1	methylmalonate-semialdehyde dehydrogenase				
rbb	57945	Pseudomonas aeruginosa PAO1	15598767	PA3571	NP_252261.1	transcriptional regulator MmsR	59275	Pseudomonas aeruginosa LESB58	218890202	PLES_14621	WP_003122160.1	transcriptional regulator MmsR				
rbb	57945	Pseudomonas aeruginosa PAO1	15598768	PA3572	NP_252262.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218890201	PLES_14611	WP_003104346.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15598769	PA3573	NP_252263.1	major facilitator superfamily (MFS) transporter	59275	Pseudomonas aeruginosa LESB58	218890200	PLES_14601	WP_003092150.1	putative major facilitator superfamily (MFS) transporter				
rbb	57945	Pseudomonas aeruginosa PAO1	15598770	PA3574	NP_252264.1	NalD	59275	Pseudomonas aeruginosa LESB58	218890199	PLES_14591	WP_012613742.1	putative transcriptional regulator				
rbb	57945	Pseudomonas aeruginosa PAO1	15598771	PA3575	NP_252265.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218890198	PLES_14581	WP_003092155.1	putative cytochrome B561				
rbb	57945	Pseudomonas aeruginosa PAO1	15598772	PA3576	NP_252266.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218890197	PLES_14571	WP_003117503.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15598774	PA3578	NP_252268.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218890196	PLES_14561	WP_003159513.1	putative phenazine biosynthesis protein, PhzF family				
rbb	57945	Pseudomonas aeruginosa PAO1	15598775	PA3579	NP_252269.1	carbohydrate kinase	59275	Pseudomonas aeruginosa LESB58	218890195	PLES_14551	WP_003092161.1	putative carbohydrate kinase				
rbb	57945	Pseudomonas aeruginosa PAO1	15598776	PA3580	NP_252270.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218890194	PLES_14541	WP_012613741.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15598777	PA3581	NP_252271.1	glycerol uptake facilitator protein	59275	Pseudomonas aeruginosa LESB58	218890193	PLES_14531	WP_003143282.1	glycerol uptake facilitator protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15598778	PA3582	NP_252272.1	glycerol kinase	59275	Pseudomonas aeruginosa LESB58	218890192	PLES_14521	WP_003092168.1	glycerol kinase				
rbb	57945	Pseudomonas aeruginosa PAO1	15598779	PA3583	NP_252273.1	glycerol-3-phosphate regulon repressor	59275	Pseudomonas aeruginosa LESB58	218890191	PLES_14511	WP_003092173.1	glycerol-3-phosphate regulon repressor				
rbb	57945	Pseudomonas aeruginosa PAO1	15598780	PA3584	NP_252274.1	glycerol-3-phosphate dehydrogenase	59275	Pseudomonas aeruginosa LESB58	218890190	PLES_14501	WP_003098460.1	glycerol-3-phosphate dehydrogenase				
rbb	57945	Pseudomonas aeruginosa PAO1	15598781	PA3585	NP_252275.1	membrane protein GlpM	59275	Pseudomonas aeruginosa LESB58	218890189	PLES_14491	WP_003092178.1	membrane protein GlpM				
rbb	57945	Pseudomonas aeruginosa PAO1	15598782	PA3586	NP_252276.1	hydrolase	59275	Pseudomonas aeruginosa LESB58	218890188	PLES_14481	WP_003098462.1	putative hydrolase				
rbb	57945	Pseudomonas aeruginosa PAO1	15598783	PA3587	NP_252277.1	transcriptional regulator MetR	59275	Pseudomonas aeruginosa LESB58	218890187	PLES_14471	WP_003109716.1	transcriptional regulator MetR				
rbb	57945	Pseudomonas aeruginosa PAO1	15598784	PA3588	NP_252278.1	porin	59275	Pseudomonas aeruginosa LESB58	218890186	PLES_14461	WP_003098463.1	putative porin				
rbb	57945	Pseudomonas aeruginosa PAO1	15598785	PA3589	NP_252279.1	acetyl-CoA acetyltransferase	59275	Pseudomonas aeruginosa LESB58	218890185	PLES_14451	WP_012613740.1	acetyl-CoA acetyltransferase				
rbb	57945	Pseudomonas aeruginosa PAO1	15598786	PA3590	NP_252280.1	3-hydroxy-acyl-CoA dehydrogenase	59275	Pseudomonas aeruginosa LESB58	218890184	PLES_14441	WP_012613739.1	3-hydroxy-acyl-CoA dehydrogenase				
rbb	57945	Pseudomonas aeruginosa PAO1	15598787	PA3591	NP_252281.1	enoyl-CoA hydratase	59275	Pseudomonas aeruginosa LESB58	218890183	PLES_14431	WP_025208378.1	enoyl-CoA hydratase				
rbb	57945	Pseudomonas aeruginosa PAO1	15598788	PA3592	NP_252282.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218890182	PLES_14421	WP_012613737.1	putative L-carnitine dehydratase				
rbb	57945	Pseudomonas aeruginosa PAO1	15598789	PA3593	NP_252283.1	acyl-CoA dehydrogenase	59275	Pseudomonas aeruginosa LESB58	218890181	PLES_14411	WP_012613736.1	putative acyl-CoA dehydrogenase				
rbb	57945	Pseudomonas aeruginosa PAO1	15598790	PA3594	NP_252284.1	transcriptional regulator	59275	Pseudomonas aeruginosa LESB58	218890180	PLES_14401	WP_003092195.1	putative transcriptional regulator				
rbb	57945	Pseudomonas aeruginosa PAO1	15598793	PA3597	NP_252287.1	amino acid permease	59275	Pseudomonas aeruginosa LESB58	218890178	PLES_14381	WP_003109706.1	putative amino acid permease				
rbb	57945	Pseudomonas aeruginosa PAO1	15598794	PA3598	NP_252288.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218890177	PLES_14371	WP_012613734.1	putative carbon-nitrogen hydrolase family protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15598795	PA3599	NP_252289.1	transcriptional regulator	59275	Pseudomonas aeruginosa LESB58	218890176	PLES_14361	WP_003092207.1	putative transcriptional regulator				
rbb	57945	Pseudomonas aeruginosa PAO1	15598796	PA3600	NP_252290.1	50S ribosomal protein L36	59275	Pseudomonas aeruginosa LESB58	218890175	PLES_14351	WP_003092209.1	50S ribosomal protein L36				
rbb	57945	Pseudomonas aeruginosa PAO1	15598797	PA3601	NP_252291.1	50S ribosomal protein L31 type B	59275	Pseudomonas aeruginosa LESB58	218890174	PLES_14341	WP_003092213.1	50S ribosomal protein L31 type B				
rbb	57945	Pseudomonas aeruginosa PAO1	15598798	PA3602	NP_252292.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218890173	PLES_14331	WP_003092223.1	putative glutamate synthase, large subunit				
rbb	57945	Pseudomonas aeruginosa PAO1	15598799	PA3603	NP_252293.1	diacylglycerol kinase	59275	Pseudomonas aeruginosa LESB58	218890172	PLES_14321	WP_003092226.1	diacylglycerol kinase				
rbb	57945	Pseudomonas aeruginosa PAO1	15598800	PA3604	NP_252294.1	response regulator ErdR	59275	Pseudomonas aeruginosa LESB58	218890171	PLES_14311	WP_003092229.1	putative two-component response regulator				
rbb	57945	Pseudomonas aeruginosa PAO1	15598801	PA3605	NP_252295.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218890170	PLES_14301	WP_003092232.1	putative transmembrane protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15598802	PA3606	NP_252296.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218890169	PLES_14291	WP_003098478.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15598803	PA3607	NP_252297.1	polyamine transporter PotA	59275	Pseudomonas aeruginosa LESB58	218890168	PLES_14281	WP_003092238.1	polyamine transport protein PotA				
rbb	57945	Pseudomonas aeruginosa PAO1	15598804	PA3608	NP_252298.1	polyamine transporter PotB	59275	Pseudomonas aeruginosa LESB58	218890167	PLES_14271	WP_003092241.1	polyamine transport protein PotB				
rbb	57945	Pseudomonas aeruginosa PAO1	15598805	PA3609	NP_252299.1	polyamine transporter PotC	59275	Pseudomonas aeruginosa LESB58	218890166	PLES_14261	WP_003092244.1	polyamine transport protein PotC				
rbb	57945	Pseudomonas aeruginosa PAO1	15598806	PA3610	NP_252300.1	polyamine transporter PotD	59275	Pseudomonas aeruginosa LESB58	218890165	PLES_14251	WP_012613733.1	polyamine transport protein PotD				
rbb	57945	Pseudomonas aeruginosa PAO1	15598807	PA3611	NP_252301.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218890164	PLES_14241	WP_003092248.1	putative secreted protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15598808	PA3612	NP_252302.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218890163	PLES_14231	WP_003092249.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15598809	PA3613	NP_252303.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218890162	PLES_14221	WP_012613732.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15598810	PA3614	NP_252304.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218890161	PLES_14211	WP_003098484.1	putative metallo-beta-lactamase superfamily protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15598811	PA3615	NP_252305.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218890160	PLES_14201	WP_003092255.1	putative lysine decarboxylase				
rbb	57945	Pseudomonas aeruginosa PAO1	15598812	PA3616	NP_252306.1	recombination regulator RecX	59275	Pseudomonas aeruginosa LESB58	218890159	PLES_14191	WP_003119355.1	recombination regulator RecX				
rbb	57945	Pseudomonas aeruginosa PAO1	15598813	PA3617	NP_252307.1	recombinase A	59275	Pseudomonas aeruginosa LESB58	218890158	PLES_14181	WP_003092260.1	recombinase A				
rbb	57945	Pseudomonas aeruginosa PAO1	15598814	PA3618	NP_252308.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218890157	PLES_14171	WP_003092262.1	putative competence-damaged protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15598815	PA3619	NP_252309.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218890156	PLES_14161	WP_012613731.1	putative TolB-like translocation protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15598816	PA3620	NP_252310.1	DNA mismatch repair protein MutS	59275	Pseudomonas aeruginosa LESB58	218890155	PLES_14151	WP_031633569.1	DNA mismatch repair protein MutS				
rbb	57945	Pseudomonas aeruginosa PAO1	15598817	PA3621	NP_252311.1	ferredoxin I	59275	Pseudomonas aeruginosa LESB58	218890154	PLES_14141	WP_003119354.1	ferredoxin I				
rbb	57945	Pseudomonas aeruginosa PAO1	15598818	PA3622	NP_252312.1	RNA polymerase sigma factor RpoS	59275	Pseudomonas aeruginosa LESB58	218890153	PLES_14131	WP_003113871.1	RNA polymerase sigma factor RpoS				
rbb	57945	Pseudomonas aeruginosa PAO1	15598819	PA3623	NP_252313.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218890152	PLES_14121	WP_003115226.1	putative lipoprotein NlpD				
rbb	57945	Pseudomonas aeruginosa PAO1	15598820	PA3624	NP_252314.1	protein-L-isoaspartate O-methyltransferase	59275	Pseudomonas aeruginosa LESB58	218890151	PLES_14111	WP_003159496.1	protein-L-isoaspartate O-methyltransferase				
rbb	57945	Pseudomonas aeruginosa PAO1	15598821	PA3625	NP_252315.1	stationary phase survival protein SurE	59275	Pseudomonas aeruginosa LESB58	218890150	PLES_14101	WP_012613729.1	stationary phase survival protein SurE				
rbb	57945	Pseudomonas aeruginosa PAO1	15598822	PA3626	NP_252316.1	tRNA pseudouridine synthase D	59275	Pseudomonas aeruginosa LESB58	218890149	PLES_14091	WP_012613728.1	tRNA pseudouridine synthase D				
rbb	57945	Pseudomonas aeruginosa PAO1	15598823	PA3627	NP_252317.1	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase	59275	Pseudomonas aeruginosa LESB58	218890148	PLES_14081	WP_003098560.1	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase				
rbb	57945	Pseudomonas aeruginosa PAO1	15598824	PA3628	NP_252318.1	esterase	59275	Pseudomonas aeruginosa LESB58	218890147	PLES_14071	WP_012613727.1	putative esterase				
rbb	57945	Pseudomonas aeruginosa PAO1	15598825	PA3629	NP_252319.1	alcohol dehydrogenase class III	59275	Pseudomonas aeruginosa LESB58	218890146	PLES_14061	WP_003092351.1	alcohol dehydrogenase class III				
rbb	57945	Pseudomonas aeruginosa PAO1	15598826	PA3630	NP_252320.1	transcriptional regulator	59275	Pseudomonas aeruginosa LESB58	218890145	PLES_14051	WP_003098564.1	putative transcriptional regulator				
rbb	57945	Pseudomonas aeruginosa PAO1	15598827	PA3631	NP_252321.1	inner membrane protein	59275	Pseudomonas aeruginosa LESB58	218890144	PLES_14041	WP_031759530.1	putative inner membrane protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15598828	PA3632	NP_252322.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218890143	PLES_14031	WP_003092358.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15598829	PA3633	NP_252323.1	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase	59275	Pseudomonas aeruginosa LESB58	218890142	PLES_14021	WP_003092359.1	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase				
rbb	57945	Pseudomonas aeruginosa PAO1	15598830	PA3634	NP_252324.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218890141	PLES_14011	WP_003098569.1	putative septum formation initiator				
rbb	57945	Pseudomonas aeruginosa PAO1	15598831	PA3635	NP_252325.1	phosphopyruvate hydratase	59275	Pseudomonas aeruginosa LESB58	218890140	PLES_14001	WP_003092364.1	phosphopyruvate hydratase				
rbb	57945	Pseudomonas aeruginosa PAO1	15598832	PA3636	NP_252326.1	2-dehydro-3-deoxyphosphooctonate aldolase	59275	Pseudomonas aeruginosa LESB58	218890139	PLES_13991	WP_003092365.1	2-dehydro-3-deoxyphosphooctonate aldolase				
rbb	57945	Pseudomonas aeruginosa PAO1	15598833	PA3637	NP_252327.1	CTP synthetase	59275	Pseudomonas aeruginosa LESB58	218890138	PLES_13981	WP_003092366.1	CTP synthetase				
rbb	57945	Pseudomonas aeruginosa PAO1	15598834	PA3638	NP_252328.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218890137	PLES_13971	WP_031628416.1	putative cell cycle protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15598835	PA3639	NP_252329.1	acetyl-CoA carboxylase carboxyltransferase subunit alpha	59275	Pseudomonas aeruginosa LESB58	218890136	PLES_13961	WP_003098575.1	acetyl-CoA carboxylase carboxyltransferase subunit alpha				
rbb	57945	Pseudomonas aeruginosa PAO1	15598836	PA3640	NP_252330.1	DNA polymerase III subunit alpha	59275	Pseudomonas aeruginosa LESB58	218890135	PLES_13951	WP_003098578.1	DNA polymerase III subunit alpha				
rbb	57945	Pseudomonas aeruginosa PAO1	15598837	PA3641	NP_252331.1	amino acid permease	59275	Pseudomonas aeruginosa LESB58	218890134	PLES_13941	WP_003092370.1	putative amino acid permease				
rbb	57945	Pseudomonas aeruginosa PAO1	15598838	PA3642	NP_252332.1	ribonuclease HII	59275	Pseudomonas aeruginosa LESB58	218890133	PLES_13931	WP_003098580.1	ribonuclease HII				
rbb	57945	Pseudomonas aeruginosa PAO1	15598839	PA3643	NP_252333.1	lipid-A-disaccharide synthase	59275	Pseudomonas aeruginosa LESB58	218890132	PLES_13921	WP_003113865.1	lipid-A-disaccharide synthase				
rbb	57945	Pseudomonas aeruginosa PAO1	15598840	PA3644	NP_252334.1	UDP-N-acetylglucosamine acyltransferase	59275	Pseudomonas aeruginosa LESB58	218890131	PLES_13911	WP_003092373.1	UDP-N-acetylglucosamine acyltransferase				
rbb	57945	Pseudomonas aeruginosa PAO1	15598841	PA3645	NP_252335.1	(3R)-hydroxymyristoyl-ACP dehydratase	59275	Pseudomonas aeruginosa LESB58	218890130	PLES_13901	WP_003092375.1	(3R)-hydroxymyristoyl-ACP dehydratase				
rbb	57945	Pseudomonas aeruginosa PAO1	15598842	PA3646	NP_252336.1	UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase	59275	Pseudomonas aeruginosa LESB58	218890129	PLES_13891	WP_003098585.1	UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase				
rbb	57945	Pseudomonas aeruginosa PAO1	15598843	PA3647	NP_252337.1	outer membrane protein precursor	59275	Pseudomonas aeruginosa LESB58	218890128	PLES_13881	WP_003098586.1	putative outer membrane protein precursor				
rbb	57945	Pseudomonas aeruginosa PAO1	15598844	PA3648	NP_252338.1	outer membrane protein Opr86	59275	Pseudomonas aeruginosa LESB58	218890127	PLES_13871	WP_003122144.1	putative outer membrane protein precursor				
rbb	57945	Pseudomonas aeruginosa PAO1	15598845	PA3649	NP_252339.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218890126	PLES_13861	WP_012613725.1	putative membrane-associated zinc metalloprotease				
rbb	57945	Pseudomonas aeruginosa PAO1	15598846	PA3650	NP_252340.1	1-deoxy-D-xylulose 5-phosphate reductoisomerase	59275	Pseudomonas aeruginosa LESB58	218890125	PLES_13851	WP_003113864.1	1-deoxy-D-xylulose 5-phosphate reductoisomerase				
rbb	57945	Pseudomonas aeruginosa PAO1	15598847	PA3651	NP_252341.1	phosphatidate cytidylyltransferase	59275	Pseudomonas aeruginosa LESB58	218890124	PLES_13841	WP_003092388.1	phosphatidate cytidylyltransferase				
rbb	57945	Pseudomonas aeruginosa PAO1	15598848	PA3652	NP_252342.1	undecaprenyl pyrophosphate synthetase	59275	Pseudomonas aeruginosa LESB58	218890123	PLES_13831	WP_003113863.1	undecaprenyl pyrophosphate synthetase				
rbb	57945	Pseudomonas aeruginosa PAO1	15598849	PA3653	NP_252343.1	ribosome recycling factor	59275	Pseudomonas aeruginosa LESB58	218890122	PLES_13821	WP_003092390.1	ribosome recycling factor				
rbb	57945	Pseudomonas aeruginosa PAO1	15598850	PA3654	NP_252344.1	uridylate kinase	59275	Pseudomonas aeruginosa LESB58	218890121	PLES_13811	WP_003092391.1	uridylate kinase				
rbb	57945	Pseudomonas aeruginosa PAO1	15598851	PA3655	NP_252345.1	elongation factor Ts	59275	Pseudomonas aeruginosa LESB58	218890120	PLES_13801	WP_012613724.1	elongation factor Ts				
rbb	57945	Pseudomonas aeruginosa PAO1	15598852	PA3656	NP_252346.1	30S ribosomal protein S2	59275	Pseudomonas aeruginosa LESB58	218890119	PLES_13791	WP_003092394.1	30S ribosomal protein S2				
rbb	57945	Pseudomonas aeruginosa PAO1	15598853	PA3657	NP_252347.1	methionine aminopeptidase	59275	Pseudomonas aeruginosa LESB58	218890118	PLES_13781	WP_003092395.1	methionine aminopeptidase				
rbb	57945	Pseudomonas aeruginosa PAO1	15598854	PA3658	NP_252348.1	PII uridylyl-transferase	59275	Pseudomonas aeruginosa LESB58	218890117	PLES_13771	WP_003098610.1	PII uridylyl-transferase				
rbb	57945	Pseudomonas aeruginosa PAO1	15598855	PA3659	NP_252349.1	succinyldiaminopimelate transaminase	59275	Pseudomonas aeruginosa LESB58	218890116	PLES_13761	WP_003092403.1	succinyldiaminopimelate transaminase				
rbb	57945	Pseudomonas aeruginosa PAO1	15598856	PA3660	NP_252350.1	sodium/hydrogen antiporter	59275	Pseudomonas aeruginosa LESB58	218890115	PLES_13751	WP_003453651.1	putative sodium/hydrogen antiporter				
rbb	57945	Pseudomonas aeruginosa PAO1	15598857	PA3661	NP_252351.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218890114	PLES_13741	WP_003092416.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15598858	PA3662	NP_252352.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218890113	PLES_13731	WP_003098613.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15598859	PA3663	NP_252353.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218890112	PLES_13721	WP_003098616.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15598860	PA3664	NP_252354.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218890059	PLES_13201	WP_003098619.1	putative arsenate reductase, glutaredoxin family				
rbb	57945	Pseudomonas aeruginosa PAO1	15598861	PA3665	NP_252355.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218890058	PLES_13191	WP_004345492.1	putative transporter, LysE family				
rbb	57945	Pseudomonas aeruginosa PAO1	15598862	PA3666	NP_252356.1	tetrahydrodipicolinate succinylase	59275	Pseudomonas aeruginosa LESB58	218890057	PLES_13181	WP_003092431.1	tetrahydrodipicolinate succinylase				
rbb	57945	Pseudomonas aeruginosa PAO1	15598863	PA3667	NP_252357.1	pyridoxal-phosphate dependent enzyme	59275	Pseudomonas aeruginosa LESB58	218890056	PLES_13171	WP_012613677.1	putative pyridoxal-phosphate dependent enzyme				
rbb	57945	Pseudomonas aeruginosa PAO1	15598864	PA3668	NP_252358.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218890055	PLES_13161	WP_012613676.1	putative Fe-S center assembly protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15598865	PA3669	NP_252359.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218890054	PLES_13151	WP_003092443.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15598866	PA3670	NP_252360.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218890053	PLES_13141	WP_012613675.1	putative auxiliary component of ABC transporter				
rbb	57945	Pseudomonas aeruginosa PAO1	15598867	PA3671	NP_252361.1	ABC transporter permease	59275	Pseudomonas aeruginosa LESB58	218890052	PLES_13131	WP_012613674.1	putative permease of ABC transporter				
rbb	57945	Pseudomonas aeruginosa PAO1	15598868	PA3672	NP_252362.1	ATP-binding component of ABC transporter	59275	Pseudomonas aeruginosa LESB58	218890051	PLES_13121	WP_003113857.1	putative ATP-binding component of ABC transporter				
rbb	57945	Pseudomonas aeruginosa PAO1	15598869	PA3673	NP_252363.1	glycerol-3-phosphate acyltransferase	59275	Pseudomonas aeruginosa LESB58	218890050	PLES_13111	WP_003113856.1	glycerol-3-phosphate acyltransferase				
rbb	57945	Pseudomonas aeruginosa PAO1	15598870	PA3674	NP_252364.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218890049	PLES_13101	WP_003098642.1	putative lipoprotein				
rbb	57945	Pseudomonas aeruginosa PAO1	15598871	PA3675	NP_252365.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218890048	PLES_13091	WP_003098644.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15598872	PA3676	NP_252366.1	Resistance-Nodulation-cell Division (RND) efflux transporter	59275	Pseudomonas aeruginosa LESB58	218890047	PLES_13081	WP_003122137.1	putative Resistance-Nodulation-Cell Division (RND) efflux transporter				
rbb	57945	Pseudomonas aeruginosa PAO1	15598873	PA3677	NP_252367.1	Resistance-Nodulation-cell Division (RND) efflux membrane fusion protein precursor	59275	Pseudomonas aeruginosa LESB58	218890046	PLES_13071	WP_003092466.1	putative Resistance-Nodulation-Cell Division (RND) efflux membrane fusion protein precursor				
rbb	57945	Pseudomonas aeruginosa PAO1	15598874	PA3678	NP_252368.1	transcriptional regulator	59275	Pseudomonas aeruginosa LESB58	218890045	PLES_13061	WP_003092468.1	putative transcriptional regulator				
rbb	57945	Pseudomonas aeruginosa PAO1	15598875	PA3679	NP_252369.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218890044	PLES_13051	WP_012613673.1	putative cytochrome P450				
